file_path,file_size_bytes,file_type,hash,phash,duplicate_group_id,near_duplicate_group_id
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\1000002217.jpg,45033,image,ed511be4c396caec9cb885965c61f52814ed55b3e2fcc14df79a86fa188c6238,303466e7e3e3e7ef,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\1000002224.jpg,88849,image,abb41f3b2dfc2d393cba0d7eb29cd637f025d574908babf2ef8454bcc2d20f68,83cefedf83010000,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\1000002256.jpg,144476,image,2cf6f552f4a676edca995d8c00d39f45eda9e3b131a0f6ad7fe6e3dc59c4c56b,f8f4fcfc00000000,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\100000233217.jpg,35425,image,c6bc49b4084b0efe5a474e13295ce7b93d6b439bd8ab97245a76f9f426afc136,3977e3c3c3e3cbef,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\1000002437.jpg,67412,image,77dcb37b6e8f5d23364da42d5b81a798818e506f1b66561f444d2a8bd71bb7c6,2000183bd7ff2f1f,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\1000002589.jpg,52423,image,24de3fe891af9fdc34b7d982ee9ccfb5330c259e47cb1f1618b4cf510c0e4a3c,fffffffc00000000,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\1000002980.jpg,54384,image,92395fcf0b8b3d6f14867cd7915b3f17be8be7f040139b11309483417e0c68ce,0001107272e73fff,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\20240918_174014.mp4,214435294,video,d5164c6a8a30bdc0345e4f2c702bac8f3957a0328f4b50a1843ff839b7c44734,,1,
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DogsBRoll.mp4,131025896,video,47435279c37cd3891d2a5f9247ed335fd9a3b70867fd3c044b65d4c9cf50ef6d,,1,
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC00735.jpg,1753957,image,6499a0d32f9ad81de90f4a3c115387ffd5dbadf1f6c1f6cc7a3b00b55937d8af,041f1f3323101008,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC01313 (1).jpg,1210132,image,516dca98559b75a3e5aa07c4ebf8a8898c9a10203e243e8b39e5e76cbc161cf4,fef8f0e389082400,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC03631.jpg,3748167,image,2d140a9b1d21b9f21ed06b0642d576fd69e0ce26fa51abdfb0042bff1d209fb4,e3f2f151e0f0e040,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC03756-Edit (1).jpg,2641214,image,93b85516e7bc0918f401712dcdfa2a4f0963603275684b7fcb5c36925f0a5ff1,0018181c1c081c0c,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC03764-Edit (1).jpg,2859601,image,53d07b96178b70fcea9b0198c90bae1ad8662c6ed6c8e24bac4dd425b11a823b,000c1c1c1e1c0400,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC04283-Edit (1).jpg,1464243,image,15b65c4a60a564d21f2678b29ede26ec72a3948927749efe9f3b464c7c8ec27f,fd3c381008040383,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC04283.jpg,2352305,image,929d9df410d314f3c9ec6f2497667036a85bed93212579a8e47b7e2116d392a4,38181818180c0c06,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC04368 (1).jpg,1277615,image,8f1c16844e24bfc485690afc71b4a8d3416862ca3ce6e46f339730e7bc802f92,3030301407706000,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC04368.jpg,1277615,image,0fe8a48b9f223c561133e706ce437690f81e9b438aceffb92bcf9d7d84b4f132,3030301407706000,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC04387.jpg,545381,image,e4e0a52f899d2f6c4eea27e5d14f8d992d59b546c23f142d8b7352b973407084,70787878780e0e06,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC05022.jpg,977475,image,2e270580e7cd280875f89285278f2e9b7e68c2a5ce0486944ce2cc7423eee7cc,3e7e57c3b0b83010,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC05043.jpg,225445,image,8bb826992762efc64d578af0c12a714444d994d1c95796d0f69024389bcd8886,01231330f7ffe380,1,unique
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC05054 (1).jpg,956178,image,1f90487f743e685112c4f78137528f7a1f5808daf01e9cde5210c86d78ce407d,000090d1dbfb3fff,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC05312 (1).jpg,1355316,image,14efe0b2a44669df8167d6b0ae688150d8dcd55eb32391dbcb48c846f6cd0f9e,3e3e1e1e18008000,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC05380.jpg,5101068,image,72e8a1708b1eabf289a7b1d548593097316add92cd2dbbd93ed9133771f84dbd,fff7635303031101,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC05469.jpg,5184807,image,f15ed92861956113b5a55100ceb3b0644bf5fa4c2b0e237db1b554d6646b5f9d,f0f003e30300e0fe,1,nd_group_1
C:\Cursor AI\Micro Porject 2 Dupe Finder\Media\DSC05591.jpg,3036396,image,b5fa5065745d8291bce07975ae4adb097e40d7ae3bd9a27d93dc30e239b0db4a,dfdf1f0fc0c0c040,1,nd_group_1
